0.0,1745222976024,9.999725846827562E-5
1.0,1745223006940,9.998903417374228E-5
2.0,1745223038008,9.997532801828658E-5
3.0,1745223069072,9.995614150494293E-5
4.0,1745223100983,9.99314767377287E-5
5.0,1745223131311,9.990133642141359E-5
6.0,1745223161276,9.986572386122291E-5
7.0,1745223193352,9.982464296247522E-5
8.0,1745223224190,9.9778098230154E-5
9.0,1745223254619,9.972609476841367E-5
10.0,1745223285163,9.966863828001983E-5
11.0,1745223315632,9.960573506572391E-5
12.0,1745223346441,9.95373920235722E-5
13.0,1745223376715,9.946361664814943E-5
14.0,1745223406673,9.93844170297569E-5
15.0,1745223436543,9.929980185352526E-5
16.0,1745223466183,9.920978039846208E-5
17.0,1745223496472,9.911436253643444E-5
18.0,1745223526470,9.901355873108609E-5
19.0,1745223555898,9.890738003669028E-5
20.0,1745223585976,9.879583809693736E-5
21.0,1745223616329,9.8678945143658E-5
22.0,1745223645861,9.85567139954818E-5
23.0,1745223676467,9.842915805643154E-5
24.0,1745223706001,9.829629131445339E-5
25.0,1745223736296,9.815812833988289E-5
26.0,1745223766935,9.801468428384713E-5
27.0,1745223798179,9.786597487660334E-5
28.0,1745223828768,9.771201642581382E-5
29.0,1745223858369,9.755282581475767E-5
30.0,1745223887336,9.738842050047928E-5
31.0,1745223918335,9.721881851187405E-5
32.0,1745223947073,9.704403844771126E-5
33.0,1745223977505,9.686409947459455E-5
34.0,1745224007308,9.667902132486005E-5
35.0,1745224037348,9.648882429441254E-5
36.0,1745224066976,9.629352924049973E-5
37.0,1745224097346,9.609315757942502E-5
38.0,1745224127070,9.588773128419905E-5
39.0,1745224157190,9.567727288213003E-5
40.0,1745224187231,9.546180545235343E-5
41.0,1745224216836,9.524135262330098E-5
42.0,1745224246766,9.501593857010968E-5
43.0,1745224276724,9.478558801197064E-5
44.0,1745224306770,9.455032620941839E-5
45.0,1745224337287,9.431017896156072E-5
46.0,1745224366479,9.406517260324959E-5
47.0,1745224396579,9.381533400219317E-5
48.0,1745224426954,9.356069055600948E-5
49.0,1745224457710,9.330127018922193E-5
50.0,1745224486774,9.303710135019718E-5
51.0,1745224517058,9.276821300802532E-5
52.0,1745224546747,9.24946346493432E-5
53.0,1745224577016,9.221639627510076E-5
